Question,Answer,Question Type,Expert time (mins),Rubric
What is the total revenue of Nestle Nigeria (NESTLE) from its latest annual report?,The answer should state the total revenue/turnover figure in Naira from Nestle Nigeria's most recent audited financial statements.,Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'States revenue in Naira for NESTLE from latest annual report'}]"
What is the Net Asset Value (NAV) per share of FBNH?,NAV per share = Total Shareholders Equity / Shares Outstanding. Should reference FBNH's most recent balance sheet.,Numerical Reasoning,10,"[{'operator': 'correctness', 'criteria': 'NAV per share calculated from equity and shares outstanding'}]"
How has SEPLAT's share price performed compared to OANDO over the past year?,"The answer should compare recent price data for both oil and gas companies, noting relative performance.",Market Analysis,15,"[{'operator': 'correctness', 'criteria': 'Compares price data for SEPLAT and OANDO'}]"
What is the market cap of MTNN?,Market Cap = Current Share Price × Shares Outstanding. For MTNN this is typically one of the largest on the NGX.,Numerical Reasoning,5,"[{'operator': 'correctness', 'criteria': 'Market cap calculated as price × shares outstanding for MTNN'}]"
What are the main risks of investing in Nigerian stocks?,Key risks include: FX volatility (Naira depreciation); high inflation; regulatory/policy uncertainty; liquidity constraints on smaller stocks; and political risk.,Market Analysis,10,"[{'operator': 'correctness', 'criteria': 'Mentions FX/Naira risk'}, {'operator': 'correctness', 'criteria': 'Mentions inflation risk'}, {'operator': 'correctness', 'criteria': 'Mentions regulatory or political risk'}]"
What is the difference between PAT and Net Income in Nigerian financial reporting?,In Nigerian financial reporting PAT (Profit After Tax) is the equivalent of Net Income. Nigerian companies typically report PAT rather than Net Income.,Qualitative Retrieval,2,"[{'operator': 'correctness', 'criteria': 'PAT is the Nigerian equivalent of Net Income'}]"
What is the CBN monetary policy rate and how does it affect NGX valuations?,The Central Bank of Nigeria (CBN) sets the Monetary Policy Rate (MPR). A higher MPR increases borrowing costs and discount rates used in valuations; making stocks relatively less attractive.,Qualitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'Explains the CBN MPR and its effect on valuations'}]"
Calculate the P/B ratio for ZENITHBANK.,P/B = Current Price / Book Value Per Share. Book value per share can be derived from total equity / shares outstanding from the latest annual report.,Numerical Reasoning,10,"[{'operator': 'correctness', 'criteria': 'P/B ratio calculated from current price and book value per share'}]"
What is the operating profit margin of Dangote Sugar (DANGSUGAR)?,Operating Profit Margin = Operating Profit / Revenue × 100. Should reference the most recent annual report.,Numerical Reasoning,10,"[{'operator': 'correctness', 'criteria': 'Operating margin calculated from operating profit and revenue'}]"
What corporate actions has UBA recently announced?,The answer should check NGX disclosures for recent corporate actions by United Bank for Africa (UBA) such as dividends; rights issues; or AGM notices.,Qualitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'Returns recent corporate actions for UBA from NGX disclosures'}]"
Is ACCESSCORP undervalued or overvalued based on a DCF analysis?,"The answer should perform a simplified DCF analysis using Nigerian market parameters (FGN bond yield as risk-free rate; Nigerian ERP; terminal growth 3-4%) and compare the resulting fair value to the current market price, expressing upside or downside.",Financial Modeling,60,"[{'operator': 'correctness', 'criteria': 'Performs DCF with Nigerian parameters'}, {'operator': 'correctness', 'criteria': 'Compares fair value to current price'}, {'operator': 'correctness', 'criteria': 'Expresses upside/downside percentage'}]"
What sectors are represented on the NGX?,"The NGX includes sectors such as: Banking; Oil & Gas; Consumer Goods; Industrial Goods; Insurance; Agriculture; Healthcare; ICT/Telecoms; Services; and Conglomerates.",Qualitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'Lists major NGX sectors including Banking; Oil & Gas; Consumer Goods; Industrial Goods'}]"
What is the total assets figure for GTCO from its latest balance sheet?,The answer should state the total assets figure in Naira from GTCO's most recent audited balance sheet.,Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'States total assets in Naira for GTCO'}]"
How does BUACEMENT's P/E compare to DANGCEM's P/E?,The answer should compute P/E ratios for both companies using latest available EPS and current prices and identify which trades at a higher multiple.,Market Analysis,15,"[{'operator': 'correctness', 'criteria': 'Computes P/E for both BUACEMENT and DANGCEM'}, {'operator': 'correctness', 'criteria': 'Identifies which has the higher P/E'}]"
What is the Gross Profit of NESTLE Nigeria from its most recent annual report?,The answer should state the gross profit figure in Naira from Nestle Nigeria's most recent audited financial statements.,Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'States gross profit in Naira for NESTLE'}]"
What are the opening; high; low; and closing prices for FBNH today?,The answer should return the OHLC price data for First Bank of Nigeria Holdings from the NGX equities price list.,Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'Returns open; high; low; close prices for FBNH'}]"
What is Stanbic IBTC Holdings' (STANBIC) dividend per share?,The answer should state the latest DPS in Naira from STANBIC's most recent annual report or dividend announcement.,Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'States DPS in Naira for STANBIC'}]"
What is the terminal growth rate assumption for DCF valuations of Nigerian stocks?,For Nigerian stocks the terminal growth rate is typically set at 3-4% as a proxy for long-term Nigerian GDP growth adjusted for inflation targeting.,Qualitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'Terminal growth rate for Nigerian DCF is 3-4%'}, {'operator': 'correctness', 'criteria': 'Based on long-term Nigerian GDP growth'}]"
What recent earnings news is available for MTNN?,The answer should search for recent news about MTN Nigeria's financial results from Nigerian financial news sources.,Qualitative Retrieval,10,"[{'operator': 'correctness', 'criteria': 'Returns earnings-related news for MTNN from Nigerian sources'}]"
What is the shares outstanding for Airtel Africa (AIRTELAFRI)?,The answer should state the number of outstanding ordinary shares from AIRTELAFRI's most recent filings or annual report.,Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'States number of shares outstanding for AIRTELAFRI'}]"
Compare the dividend yield of the top 3 NGX banking stocks.,The answer should compute dividend yields for at least 3 major banks (e.g. GTCO; ZENITHBANK; ACCESSCORP) and rank them by yield.,Market Analysis,20,"[{'operator': 'correctness', 'criteria': 'Computes dividend yields for at least 3 NGX banks'}, {'operator': 'correctness', 'criteria': 'Rankings from highest to lowest yield'}]"
What is the equity risk premium used for Ngerian stock valuations?,The equity risk premium for Nigerian stock valuations is typically 5-7% above the risk-free rate (FGN bond yield).,Qualitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'Nigerian ERP is approximately 5-7%'}]"
What are all available financial metrics for DANGCEM in the database?,"The answer should query the local database and return all stored metrics for Dangote Cement, including revenue; PAT; EPS; DPS; total assets; total equity; etc.",Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'Returns stored financial metrics for DANGCEM from the database'}]"
What is the ROA (Return on Assets) of Zenith Bank?,ROA = Profit After Tax / Total Assets × 100. Should use data from ZENITHBANK's most recent annual report.,Numerical Reasoning,10,"[{'operator': 'correctness', 'criteria': 'ROA calculated as PAT / Total Assets × 100'}]"
Explain the concept of WACC in the context of Nigerian stock valuation.,"WACC (Weighted Average Cost of Capital) in Nigeria reflects the blended cost of equity and debt. Due to Nigeria's high risk-free rate (FGN bond yield ~18-19%), Nigerian WACC is significantly higher than global averages, typically ranging from 22-32% depending on sector.",Qualitative Retrieval,10,"[{'operator': 'correctness', 'criteria': 'Explains WACC concept'}, {'operator': 'correctness', 'criteria': 'Notes that Nigerian WACC is higher due to high risk-free rate'}, {'operator': 'correctness', 'criteria': 'Mentions typical range of 22-32%'}]"
What is the price change today for the 3 most actively traded stocks on the NGX?,The answer should identify the most actively traded stocks and show their daily price changes from the NGX price list.,Quantitative Retrieval,10,"[{'operator': 'correctness', 'criteria': 'Shows price changes for at least 3 actively traded NGX stocks'}]"
What annual reports are available for SEPLAT on the NGX disclosures page?,The answer should search the NGX corporate disclosures for SEPLAT Energy and list any available annual reports or audited financial statements.,Qualitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'Searches NGX disclosures for SEPLAT annual reports'}]"
